key,English,Chinese,Japanese,Hindi,Arabic,French,Spanish,Russian
string,string,string,string,string,string,string,string,string
Key,英文,中文,日文,印度语,阿拉伯语,法语,西班牙语,俄语
,Game,游戏,ゲーム,खेल,لعبة,Jeu,Juego,Игра
,Start,开始,始める,शुरू,يبدأ,Commencer,Comenzar,Начинать
,Collect,收集,集める,इकट्ठा करना,يجمع,Collecter,Recolectar,Собирать
,Reward,奖励,褒美,इनाम,جائزة,Récompense,Premio,Награда
,Close,关闭,近い,बंद करना,يغلق,Fermer,Cerca,Закрывать
,Hint,提示,ヒント,संकेत देना,تَلمِيح,Indice,Pista,Намекать
,Forward,前进,フォワード,आगे,إلى الأمام,Avant,Adelante,Вперед
,Undo,撤销,元に戻す,पूर्ववत,الغاء التحميل,annuler,Deshacer,Отменить
,Theme,主题,テーマ,विषय,سمة,Thème,Tema,Тема
,Settings,设置,設定,समायोजन,إعدادات,Paramètres,Ajustes,Настройки
,Score,得分,スコア,अंक,نتيجة,Score,Puntaje,Счет
,Time,时间,時間,समय,وقت,Temps,Tiempo,Время
,Moves,步数,移動,चालें,التحركات,Se déplace,se mueve,Ходы
,Statistics,统计数据,統計,आंकड़े,إحصائيات,Statistiques,Estadísticas,Статистика
,Draw Card,抽牌,カードを引く,कार्ड चुनें,بطاقة السحب,Tirer une carte,Elegir Carta,Вытянуть карту
,Draw 1,抽1张牌,ドロー1,ड्रा 1,ارسم 1,Tirage 1,Sorteo 1,Ничья 1
,Draw 2,抽2张牌,ドロー2,ड्रा 2,ارسم 2,Tirage 2,Sorteo 2,Ничья 2
,Draw 3,抽3张牌,ドロー 3,ड्रा 3,ارسم 3,Tirage 3,Sorteo 3,Ничья 3
,Preferences,偏好,環境設定,पसंद,التفضيلات,Préférences,Preferencias,Предпочтения
,Sound Effects,音效,音響効果,ध्वनि प्रभाव,مؤثرات صوتية,Effets sonores,Efectos de sonido,Звуковые эффекты
,Tap to Move,点击移牌,タップして移動,स्थानांतरित करने के लिए टैप करें,انقر للتحرك,Appuyez pour déplacer,Toque para moverse,"Нажмите, чтобы переместить"
,Fast Play,快速游戏,高速再生,तेज़ खेल,لعب سريع,Jeu rapide,Juego rapido,Быстрая игра
,Auto move cards to the foundation,自动将牌移到收牌区,カードを財団に自動移動します,फ़ाउंडेशन में कार्डों को स्वतः ले जाएँ,نقل البطاقات تلقائيًا إلى الأساس,Déplacer automatiquement les cartes vers la fondation,Mover tarjetas automáticamente a la base.,Автоматическое перемещение карт в фонд
,Auto Complete,自动完成,オートコンプリート,स्वतः पूर्ण,الإكمال التلقائي,Saisie automatique,Autocompletar,Автозаполнение
,Game Over Prompts,游戏结束提醒,ゲームオーバープロンプト,गेम ओवर प्रॉम्प्ट,انتهت اللعبة المطالبات,Invites de fin de jeu,Avisos de finalización del juego,Подсказки об окончании игры
,Style,视觉风格,スタイル,शैली,أسلوب,Style,Estilo,Стиль
,Display Score,显示得分,スコアを表示する,प्रदर्शन स्कोर,عرض النتيجة,Afficher le score,Puntuación de visualización,Показать балл
,Display Time/Moves,显示时间/步数,表示時間・移動数,प्रदर्शन समय/चालें,عرض الوقت/التحركات,Afficher le temps/les mouvements,Mostrar tiempo/movimientos,Отображение времени/ходов
,Display Card Counts,显示牌数,カード数の表示,कार्ड संख्या प्रदर्शित करें,عدد بطاقات العرض,Afficher le nombre de cartes,Conteos de tarjetas mostradas,Отображение количества карт
,View card counts of the Deck,查看牌堆的牌数,デッキのカード数を確認する,डेक की कार्ड संख्या देखें,عرض أعداد البطاقات على سطح السفينة,Afficher le nombre de cartes du Deck,Ver recuentos de cartas del mazo,Посмотреть количество карт в колоде
,Left-Handed,左手模式,左利き,बाएं हाथ से काम करने वाला,عسراء,Gaucher,Zurdo,Левша
,Skip Winning Animations,跳过胜利动画,勝利のアニメーションをスキップする,एनिमेशन जीतना छोड़ें,تخطي الرسوم المتحركة الفائزة,Passer les animations gagnantes,Saltar animaciones ganadoras,Пропустить выигрышные анимации
,Information,信息,情報,जानकारी,معلومة,Information,Información,Информация
,How To Play,怎么玩,遊び方,कैसे खेलने के लिए,كيف ألعب,Comment jouer,Cómo jugar,Как играть
,QUIT,退出,やめる,छोड़ना,يترك,QUITTER,ABANDONAR,ПОКИДАТЬ
,New Game,新游戏,新しいゲーム,नया खेल,لعبة جديدة,Nouveau jeu,Nuevo juego,Новая игра
,Daily Challenge,每日挑战,毎日の挑戦,दैनिक चुनौती,التحدي اليومي,Challenge quotidien,Reto diario,Ежедневное испытание
,Restart,重玩,再起動,पुनः आरंभ करें,إعادة تشغيل,Redémarrage,Reanudar,Перезапуск
,Cancel,取消,キャンセル,रद्द करना,يلغي,Annuler,Cancelar,Отмена
,YOU WON,你获胜了,あなたが勝ちました,आप जीते,لقد فزت,TU AS GAGNÉ,GANASTE,ТЫ ВЫИГРАЛ
,TROPHY,奖杯,トロフィー,ट्रॉफी,غنيمة,TROPHÉE,TROFEO,ТРОФЕЙ
,Customized,自定义,カスタマイズされた,स्वनिर्धारित,حسب الطلب,Personnalisé,Personalizado,Индивидуальные
