key,English,Chinese,Japanese,Hindi,Arabic,French,Spanish,Russian
,Game,游戏,ゲーム,???,????,Jeu,Juego,Игра
,Start,开始,始める,????,????,Commencer,Comenzar,Начинать
,Collect,收集,集める,?????? ????,????,Collecter,Recolectar,Собирать
,Reward,奖励,褒美,????,?????,Récompense,Premio,Награда
,Close,关闭,近い,??? ????,????,Fermer,Cerca,Закрывать
,Hint,提示,ヒント,????? ????,???????,Indice,Pista,Намекать
,Forward,前进,フォワード,???,??? ??????,Avant,Adelante,Вперед
,Undo,撤销,元に戻す,???????,????? ???????,annuler,Deshacer,Отменить
,Theme,主题,テーマ,????,???,Thème,Tema,Тема
,Settings,设置,設定,???????,???????,Paramètres,Ajustes,Настройки
,Score,得分,スコア,???,?????,Score,Puntaje,Счет
,Time,时间,時間,???,???,Temps,Tiempo,Время
,Moves,步数,移動,?????,????????,Se déplace,se mueve,Ходы
,Statistics,统计数据,統計,??????,????????,Statistiques,Estadísticas,Статистика
,Draw Card,抽牌,カードを引く,????? ?????,????? ?????,Tirer une carte,Elegir Carta,Вытянуть карту
,Draw 1,抽1张牌,ドロー1,???? 1,???? 1,Tirage 1,Sorteo 1,Ничья 1
,Draw 2,抽2张牌,ドロー2,???? 2,???? 2,Tirage 2,Sorteo 2,Ничья 2
,Draw 3,抽3张牌,ドロー 3,???? 3,???? 3,Tirage 3,Sorteo 3,Ничья 3
,Preferences,偏好,環境設定,????,?????????,Préférences,Preferencias,Предпочтения
,Sound Effects,音效,音響効果,????? ??????,?????? ?????,Effets sonores,Efectos de sonido,Звуковые эффекты
,Tap to Move,点击移牌,タップして移動,??????????? ???? ?? ??? ??? ????,???? ??????,Appuyez pour déplacer,Toque para moverse,"Нажмите, чтобы переместить"
,Fast Play,快速游戏,高速再生,???? ???,??? ????,Jeu rapide,Juego rapido,Быстрая игра
,Auto move cards to the foundation,自动将牌移到收牌区,カードを財団に自動移動します,????????? ??? ??????? ?? ????? ?? ????,??? ???????? ???????? ??? ??????,Déplacer automatiquement les cartes vers la fondation,Mover tarjetas automáticamente a la base.,Автоматическое перемещение карт в фонд
,Auto Complete,自动完成,オートコンプリート,????? ?????,??????? ????????,Saisie automatique,Autocompletar,Автозаполнение
,Game Over Prompts,游戏结束提醒,ゲームオーバープロンプト,??? ??? ?????????,????? ?????? ?????????,Invites de fin de jeu,Avisos de finalización del juego,Подсказки об окончании игры
,Style,视觉风格,スタイル,????,?????,Style,Estilo,Стиль
,Display Score,显示得分,スコアを表示する,???????? ?????,??? ???????,Afficher le score,Puntuación de visualización,Показать балл
,Display Time/Moves,显示时间/步数,表示時間?移動数,???????? ???/?????,??? ?????/????????,Afficher le temps/les mouvements,Mostrar tiempo/movimientos,Отображение времени/ходов
,Display Card Counts,显示牌数,カード数の表示,????? ?????? ????????? ????,??? ?????? ?????,Afficher le nombre de cartes,Conteos de tarjetas mostradas,Отображение количества карт
,View card counts of the Deck,查看牌堆的牌数,デッキのカード数を確認する,??? ?? ????? ?????? ?????,??? ????? ???????? ??? ??? ???????,Afficher le nombre de cartes du Deck,Ver recuentos de cartas del mazo,Посмотреть количество карт в колоде
,Left-Handed,左手模式,左利き,???? ??? ?? ??? ???? ????,?????,Gaucher,Zurdo,Левша
,Skip Winning Animations,跳过胜利动画,勝利のアニメーションをスキップする,??????? ????? ??????,???? ?????? ???????? ???????,Passer les animations gagnantes,Saltar animaciones ganadoras,Пропустить выигрышные анимации
,Information,信息,情報,???????,??????,Information,Información,Информация
,How To Play,怎么玩,遊び方,???? ????? ?? ???,??? ????,Comment jouer,Cómo jugar,Как играть
,QUIT,退出,やめる,??????,????,QUITTER,ABANDONAR,ПОКИДАТЬ
,New Game,新游戏,新しいゲーム,??? ???,???? ?????,Nouveau jeu,Nuevo juego,Новая игра
,Daily Challenge,每日挑战,毎日の挑戦,????? ??????,?????? ??????,Challenge quotidien,Reto diario,Ежедневное испытание
,Restart,重玩,再起動,???? ???? ????,????? ?????,Redémarrage,Reanudar,Перезапуск
,Cancel,取消,キャンセル,???? ????,????,Annuler,Cancelar,Отмена
,YOU WON,你获胜了,あなたが勝ちました,?? ????,??? ???,TU AS GAGNé,GANASTE,ТЫ ВЫИГРАЛ
,TROPHY,奖杯,トロフィー,??????,?????,TROPHéE,TROFEO,ТРОФЕЙ
,Customized,自定义,カスタマイズされた,????????????,??? ?????,Personnalisé,Personalizado,Индивидуальные
lag0107,Large Font Mode,大字体模式,大きなフォントモード,???? ?????? ???,??? ???? ??????,Mode grande police,Modo de fuente grande,Режим крупного шрифта
,Check,查看,チェック,???? ????,????,Vérifier,Controlar,Проверять
